# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1705903605051000000,1705903665051000000,147
FlushQueue.executionTimeAvgNs,1705903605051000000,1705903665051000000,432202.0602855632
FlushQueue.tasksExecuted,1705903605051000000,1705903665051000000,1891
NonBlockingReadAction.finalizedExecutionTimeUs,1705903605051000000,1705903665051000000,677818
AWTEventQueue.dispatchTimeMaxNs,1705903605051000000,1705903665051000000,304087039
FlushQueue.queueSizeMax,1705903605051000000,1705903665051000000,21
AWTEventQueue.dispatchTimeTotalNS,1705903605051000000,1705903665051000000,5006628500
WriteAction.executionsCount,1705903605051000000,1705903665051000000,22
ReadAction.executionsCount,1705903605051000000,1705903665051000000,445801
FlushQueue.waitingTime90PNs,1705903605051000000,1705903665051000000,6979583
FlushQueue.executionTimeMaxNs,1705903605051000000,1705903665051000000,301989887
FlushQueue.waitingTimeAvgNs,1705903605051000000,1705903665051000000,5161893.605499736
AWTEventQueue.dispatchTime90PNs,1705903605051000000,1705903665051000000,2113535
FlushQueue.waitingTimeMaxNs,1705903605051000000,1705903665051000000,310378495
JVM.GC.collections,1705903605051000000,1705903665051000000,5
JVM.threadCount,1705903605051000000,1705903665051000000,83
JVM.usedHeapBytes,1705903605051000000,1705903665051000000,620038880
JVM.maxHeapBytes,1705903605051000000,1705903665051000000,2147483648
JVM.GC.collectionTimesMs,1705903605051000000,1705903665051000000,139
JVM.maxNativeBytes,1705903605051000000,1705903665051000000,-1
JVM.usedNativeBytes,1705903605051000000,1705903665051000000,378364720
